STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2010,,462874921,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2011,,470405361,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2012,,478012954,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2013,,483254118,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2014,,485805089,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2015,,486244231,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2016,,485136056,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2017,,484137633,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2018,,483798523,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2019,,485895617,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2020,,491737685,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2021,,500404226,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,W,World,POP,Population,PS,Persons,_T,Total,Y40T44,From 40 to 44 years,H,Historical,2022,,511542410,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,HRV,Croatia,POP,Population,PS,Persons,_T,Total,Y_GE50,50 years or over,H,Historical,2010,,1655413,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,HRV,Croatia,POP,Population,PS,Persons,_T,Total,Y_GE50,50 years or over,H,Historical,2011,,1667161,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,HRV,Croatia,POP,Population,PS,Persons,_T,Total,Y_GE50,50 years or over,H,Historical,2012,,1678526,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,HRV,Croatia,POP,Population,PS,Persons,_T,Total,Y_GE50,50 years or over,H,Historical,2013,,1689720,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,HRV,Croatia,POP,Population,PS,Persons,_T,Total,Y_GE50,50 years or over,H,Historical,2014,,1697395,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,HRV,Croatia,POP,Population,PS,Persons,_T,Total,Y_GE50,50 years or over,H,Historical,2015,,1700582,,A,Normal value,0,Units,0,Zero
